Metric,Value
timing__unannotated_net__count__corner:max_ss_125C_3v00,196
timing__unannotated_net_filtered__count__corner:max_ss_125C_3v00,0
timing__unannotated_net__count__corner:min_ff_n40C_3v60,196
timing__unannotated_net_filtered__count__corner:min_ff_n40C_3v60,0
timing__unannotated_net__count,196
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:max_ss_125C_3v00,2.99991
design_powergrid__drop__average__net:VDD__corner:max_ss_125C_3v00,2.99997
design_powergrid__drop__worst__net:VDD__corner:max_ss_125C_3v00,0.0000879219
design_powergrid__voltage__worst__net:VSS__corner:max_ss_125C_3v00,0.000106788
design_powergrid__drop__average__net:VSS__corner:max_ss_125C_3v00,0.000029791
design_powergrid__drop__worst__net:VSS__corner:max_ss_125C_3v00,0.000106788
design_powergrid__voltage__worst,0.000106788
design_powergrid__voltage__worst__net:VDD,2.99991
design_powergrid__drop__worst,0.000106788
design_powergrid__drop__worst__net:VDD,0.0000879219
design_powergrid__voltage__worst__net:VSS,0.000106788
design_powergrid__drop__worst__net:VSS,0.000106788
ir__voltage__worst,3
ir__drop__avg,0.000028399999999999999138362849482319916205597110092639923095703125
ir__drop__worst,0.00008789999999999999528120520064788934178068302571773529052734375
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
